Team,Team Code,Age Division,Matches,Wins,Losses,Same-Age Matches,Same-Age Wins,Same-Age Losses,NIT Matches,NIT Wins,NIT Losses,NIT Same-Age Matches,NIT Same-Age Wins,NIT Same-Age Losses
Absolute 18 Black,g18ABSOL1NC,g18,29,20,9,15,9,6,11,4,7,5,1,4
MKE Sting 17 Gold,g17MLWST1BG,g17,27,20,6,26,19,6,14,7,6,14,7,6
DYNASTY 16 Black,g16TMDYN1HA,g16,24,20,4,16,13,3,11,7,4,10,7,3
Dal Skyline 14 Royal-Erin,g14SKYLN1NT,g14,21,20,1,15,14,1,8,7,1,8,7,1
Paramount VBC 17 Nick,g17PARVB1CH,g17,20,20,0,19,19,0,0,0,0,0,0,0
DYNASTY 16 Blue,g16TMDYN2HA,g16,28,19,9,21,12,9,8,1,7,8,1,7
Mizuno CNVBC 16Angela,g16CNVBC1HA,g16,28,19,7,12,7,4,10,5,5,9,5,4
PVA 13 ELITE,g13PVAKC1HA,g13,26,19,7,19,14,5,5,1,4,5,1,4
Rockwood Thunder 18 Elite,g18RWDTH1GW,g18,26,19,7,19,14,5,7,2,5,5,2,3
ARIZONA STORM 18 THUNDER,g18STORM1AZ,g18,23,19,4,15,13,2,14,10,4,9,7,2
WPVC 14 Armour Black,g14WPVCB1FL,g14,21,19,2,21,19,2,9,7,2,9,7,2
Boiler Jrs 18O Gold,g18TAVBJ1HO,g18,24,18,6,21,15,6,13,8,5,12,7,5
Alamo 16 Premier,g16ALAMO1LS,g16,23,18,5,15,10,5,11,6,5,10,5,5
AZ Sky 18 Gold,g18AZSKY1AZ,g18,23,18,5,12,8,4,15,11,4,9,6,3
Dal Skyline 15 Royal-Ryan,g15SKYLN1NT,g15,21,18,3,16,13,3,11,8,3,11,8,3
Iowa Premier 16-1,g16ADRVA1IA,g16,21,18,3,9,8,1,3,1,2,1,1,0
MKE Sting 14 Gold,g14MLWST1BG,g14,21,18,3,9,8,1,2,2,0,2,2,0
Sunshine 18 LA,g18SUNSH1SC,g18,21,18,3,21,18,3,11,8,3,11,8,3
AJV 15 adidas,g15AJVBA1LS,g15,20,18,2,20,18,2,11,9,2,11,9,2
Dallas Skyline 18 Royal,g18SKYLN1NT,g18,19,18,1,19,18,1,8,7,1,8,7,1
MADFROG 14'S N GREEN,g14FROGS1NT,g14,19,18,1,18,17,1,10,9,1,9,8,1
Paramount VBC 16 Alec,g16PARVB2CH,g16,19,18,0,19,18,0,0,0,0,0,0,0
Paramount VBC 16 Maureen,g16PARVB1CH,g16,19,18,1,19,18,1,0,0,0,0,0,0
KIVA 12 Red,g12AKIVA1PR,g12,18,18,0,13,13,0,1,1,0,1,1,0
SC Rockstar 14- Libby,g14SCROC1SC,g14,18,18,0,18,18,0,12,12,0,12,12,0
ATHENA VB 18-1 Gold National,g18ATHEN1CE,g18,27,17,10,18,11,7,14,7,7,7,2,5
Areté 16 Navy Telos,g16ARETE1NT,g16,24,17,7,24,17,7,13,6,7,13,6,7
NPJ Salem 16 National,g16NPJVB1CE,g16,23,17,6,9,9,0,10,7,3,3,3,0
NPJ Salem 17 National,g17NPJVB1CE,g17,22,17,5,10,8,2,8,5,3,1,1,0
Top Select 18 Elite,g18TSVBA1FL,g18,22,17,5,22,17,5,6,3,3,6,3,3
Austin Skyline 15 Royal,g15ASKYL1LS,g15,21,17,4,21,17,4,4,1,3,4,1,3
LOVB 18-Amir,g18SCROC1SC,g18,21,17,4,21,17,4,12,10,2,12,10,2
PowerPlex 16U Nelson,g16PWRPX1IA,g16,21,17,4,20,17,3,2,0,2,1,0,1
DYNASTY 13 Black,g13TMDYN1HA,g13,20,17,3,13,13,0,4,3,1,3,3,0
Tri-State Elite 17 Blue,g17TRIST1PR,g17,20,17,3,17,14,3,13,10,3,10,7,3
1United 14N Blue,g141UNVB1NT,g14,19,17,2,13,11,2,8,6,2,7,5,2
Dallas Skyline 13 Royal,g13SKYLN1NT,g13,19,17,2,13,12,1,6,4,2,5,4,1
Illini Elite 18 Cardinal,g18IEVBC1GL,g18,19,17,2,9,8,1,4,3,1,2,2,0
Paramount VBC 15 Nick,g15PARVB1CH,g15,18,17,1,18,17,1,0,0,0,0,0,0
A5 18 Boba,g18AFIVE2SO,g18,17,17,0,14,14,0,5,5,0,2,2,0
MADFROG 12'S N GREEN,g12FROGS1NT,g12,17,17,0,17,17,0,3,3,0,3,3,0
Sunshine 14 Westside,g14SUNSH1SC,g14,25,16,9,25,16,9,17,10,7,17,10,7
Paramount VBC 18 Cozad,g18PARVB1CH,g18,24,16,7,24,16,7,2,0,2,2,0,2
Surfside 12 PV Elite,g12SRFSD1SC,g12,24,16,8,24,16,8,1,0,1,1,0,1
Alamo 14 Premier,g14ALAMO1LS,g14,23,16,6,15,10,5,8,3,5,7,2,5
ATHENA VB 17-1 Gold National,g17ATHEN1CE,g17,23,16,7,8,7,1,9,3,6,3,3,0
PVA 14 ELITE,g14PVAKC1HA,g14,23,16,5,9,6,2,2,1,1,2,1,1
ATOMIC 14 Smack Premier,g14ATOMC1AZ,g14,21,16,5,11,11,0,1,0,1,0,0,0
Alamo 17 Premier,g17ALAMO1LS,g17,20,16,4,17,14,3,4,2,2,4,2,2
K2 16 Elite,g16KTVBC1SO,g16,20,16,4,10,7,3,0,0,0,0,0,0
AJV 17 adidas,g17AJVBA1LS,g17,19,16,3,19,16,3,8,6,2,8,6,2
Ka Ulukoa 16 Larry,g16kaulu1AH,g16,19,16,3,6,5,1,0,0,0,0,0,0
Stars 16 ZAmy,g16STARS1PM,g16,19,16,3,8,7,1,4,3,1,0,0,0
TAV Houston 17 Black B,g17TAVHO1LS,g17,19,16,3,19,16,3,12,10,2,12,10,2
A5 18 Marc,g18AFIVE1SO,g18,18,16,2,17,15,2,8,6,2,7,5,2
Dakine U17 National Pink,g17DAKWA1PS,g17,18,16,2,3,3,0,1,0,1,0,0,0
Elevation 18 Lehman,g18eleva1OV,g18,18,16,2,17,15,2,11,9,2,10,8,2
SC Rockstar 15 -Carlos,g15SCROC1SC,g15,18,16,2,18,16,2,7,7,0,7,7,0
Premier 17 Black G,g17PREMR1NT,g17,17,16,1,13,12,1,3,2,1,2,1,1
HPSTL 12 Royal,g12HPSTL1GW,g12,16,16,0,14,14,0,2,2,0,2,2,0
Premier Nebraska 18 Gold,g18PREMR1GP,g18,16,16,0,11,11,0,11,11,0,7,7,0
Absolute 15 Black,g15ABSOL1NC,g15,31,15,16,19,9,10,14,4,10,12,4,8
Austin Skyline 18 Royal,g18ASKYL1LS,g18,24,15,9,23,15,8,9,3,6,8,3,5
Boiler Jrs 15O Gold,g15TAVBJ1HO,g15,24,15,9,17,13,4,14,5,9,9,5,4
NPJ Portland 16 National,g16NPJPD1CE,g16,23,15,8,11,7,4,5,3,2,3,1,2
1United 15N Blue,g151UNVB1NT,g15,20,15,5,15,10,5,11,6,5,11,6,5
AJV 18 adidas,g18AJVBA1LS,g18,20,15,5,20,15,5,2,1,1,2,1,1
WAVE 18-Bobbie Jo,g18WVEVB2SC,g18,20,15,5,20,15,5,1,0,1,1,0,1
Boiler Jrs 14O Gold,g14TAVBJ1HO,g14,18,15,3,16,14,2,9,8,1,9,8,1
DaKine U15 National Pink,g15DAKWA1PS,g15,18,15,3,4,4,0,2,1,1,0,0,0
Dallas Skyline 18 Black,g18SKYLN2NT,g18,18,15,3,18,15,3,2,0,2,2,0,2
MADFROG 18'S N GREEN,g18FROGS1NT,g18,18,15,3,8,6,2,5,3,2,5,3,2
MKE Sting 15 Gold,g15MLWST1BG,g15,18,15,3,1,1,0,2,1,1,0,0,0
Sky High Adidas 16 Elite,g16SKYHI1GL,g16,18,15,3,11,9,2,1,0,1,1,0,1
Tri-State Elite 16 Blue,g16TRIST1PR,g16,18,15,3,15,12,3,10,7,3,7,4,3
WAVE 15-Brennan,g15WVEVB1SC,g15,18,15,3,18,15,3,14,11,3,14,11,3
FRVBC 18-1 Black,g18FRVBC1RM,g18,17,15,2,8,8,0,5,3,2,0,0,0
KIVA 13 Red,g13AKIVA1PR,g13,17,15,2,12,10,2,1,1,0,1,1,0
MKE Sting 16 Gold,g16MLWST1BG,g16,17,15,2,2,2,0,3,2,1,1,1,0
WAVE 17-Juliana,g17WVEVB1SC,g17,17,15,2,17,15,2,16,14,2,16,14,2
AZ REV 17 Premier,g17REVOL1AZ,g17,16,15,1,7,7,0,5,5,0,2,2,0
MADFROG 15'S N GREEN,g15FROGS1NT,g15,16,15,1,16,15,1,12,11,1,12,11,1
Paramount VBC 14 Jaz,g14PARVB1CH,g14,16,15,1,14,13,1,0,0,0,0,0,0
LAV 15 National Black,g15LAVBC1GC,g15,15,15,0,15,15,0,0,0,0,0,0,0
NPJ Bend 16 National,g16NPJBE1CE,g16,24,14,10,14,7,7,5,1,4,4,1,3
WAVE 18 Darrell,g18WVEVB1SC,g18,20,14,6,20,14,6,15,10,5,15,10,5
AJV 16 adidas,g16AJVBA1LS,g16,19,14,5,19,14,5,11,6,5,11,6,5
AVA TX 16 Adidas,g16AVATX1LS,g16,19,14,4,19,14,4,3,1,2,3,1,2
Illini Elite 17 Cardinal,g17IEVBC1GL,g17,19,14,5,13,9,4,2,0,2,2,0,2
MADFROG 17'S N GREEN,g17FROGS1NT,g17,19,14,5,18,13,5,11,7,4,10,6,4
VCNebraska 17 Elite,g17VCNEB1GP,g17,19,14,5,17,14,3,16,11,5,14,11,3
1st Alliance 16 Gold,g16allia1GL,g16,18,14,4,15,11,4,11,7,4,10,6,4
AZ Sky 16 Gold,g16AZSKY1AZ,g16,18,14,4,9,8,1,5,2,3,2,1,1
FaR Out 15 Black,g15fovbc1LK,g15,18,14,4,14,13,1,12,8,4,8,7,1
HJV 14 ELITE,g14HOUJR1LS,g14,18,14,4,18,14,4,1,0,1,1,0,1
HJV 15 ELITE,g15HOUJR1LS,g15,18,14,4,13,11,2,7,4,3,6,4,2
HJV 17 ELITE,g17HOUJR1LS,g17,18,14,4,17,14,3,9,8,1,9,8,1
SA Juniors 16 Adidas,g16SAJVB1LS,g16,18,14,4,18,14,4,3,1,2,3,1,2
Stars 15 Bing,g15STARS1PM,g15,18,14,4,13,10,3,5,2,3,4,2,2
TVC 18-Black,g18TOLVC1OV,g18,18,14,4,17,13,4,10,8,2,9,7,2
1st Alliance 17 Gold,g17allia1GL,g17,17,14,3,13,10,3,10,7,3,7,4,3
AP 16 adidas,g16APERF1LS,g16,17,14,3,17,14,3,4,2,2,4,2,2
EXCEL 14 National Red,g14EXCEL1NT,g14,17,14,3,17,14,3,9,6,3,9,6,3
HJV 16 ELITE,g16HOUJR1LS,g16,17,14,3,17,14,3,13,10,3,13,10,3
KIVA 16 Red,g16AKIVA1PR,g16,17,14,3,14,11,3,9,7,2,6,4,2
MAVS 18 Elite,g18MAVBC1HA,g18,17,14,3,17,14,3,6,4,2,6,4,2
SA Juniors 15 Adidas,g15SAJVB1LS,g15,17,14,3,16,14,2,5,3,2,4,3,1
ARIZONA STORM 14 THUNDER,g14STORM1AZ,g14,16,14,2,7,7,0,4,4,0,2,2,0
MKE Sting 15 Black,g15MLWST2BG,g15,16,14,2,7,6,1,3,2,1,2,1,1
SASVBC G 16 KEVIN,g16SPSER1AH,g16,16,14,2,11,10,1,10,8,2,7,6,1
WAVE 12-Binh,g12WVEVB1SC,g12,16,14,2,16,14,2,4,4,0,4,4,0
1United 12N Blue,g121UNVB1NT,g12,15,14,1,15,14,1,1,0,1,1,0,1
Absolute 17 Black,g17ABSOL1NC,g17,15,14,1,6,6,0,3,3,0,1,1,0
CJV 16 Mizuno,g16CJVVB1CR,g16,15,14,1,15,14,1,0,0,0,0,0,0
H Skyline 18 Royal,g18HOSKY1LS,g18,15,14,1,15,14,1,7,6,1,7,6,1
ATHENA VB 16-1 Gold National,g16ATHEN1CE,g16,24,13,11,7,5,2,5,1,4,0,0,0
Academy 18O Rage,g18TAVBC1HO,g18,22,13,9,19,11,8,8,2,6,7,2,5
Austin Skyline 17 Royal,g17ASKYL1LS,g17,21,13,8,21,13,8,9,4,5,9,4,5
KC Power 16-1,g16POWER1HA,g16,21,13,8,18,13,5,15,9,6,12,9,3
NPJ Salem 15 National,g15NPJVB1CE,g15,21,13,8,8,6,2,4,2,2,3,2,1
360 17 HP Elite,g17SIXTY1NT,g17,20,13,6,20,13,6,10,5,5,10,5,5
GP 18 National,g18GPONT1FL,g18,20,13,7,20,13,7,4,0,4,4,0,4
1st Alliance 18 Gold,g18allia1GL,g18,19,13,5,14,9,4,8,5,3,6,4,2
1United 17N Blue,g171UNVB1NT,g17,19,13,6,19,13,6,12,6,6,12,6,6
Areté 17 Navy Telos,g17ARETE1NT,g17,19,13,6,19,13,6,7,3,4,7,3,4
FaR Out 17 Black,g17fovbc1LK,g17,19,13,6,16,12,4,5,2,3,4,2,2
MADFROG 14'S N BLACK,g14FROGS2NT,g14,19,13,6,19,13,6,3,0,3,3,0,3
Tri-State Elite 18 Blue,g18TRIST1PR,g18,19,13,6,16,10,6,14,8,6,12,6,6
Alamo 15 Premier,g15ALAMO1LS,g15,18,13,4,10,8,2,2,1,1,2,1,1
DaKine U16 National Pink,g16DAKWA1PS,g16,18,13,4,4,2,1,1,1,0,0,0,0
KIVA 18 Red,g18AKIVA1PR,g18,18,13,5,15,11,4,6,2,4,5,1,4
NKYVC  18-1 Tsunami,g18NKYVC1PR,g18,18,13,5,15,10,5,13,8,5,10,5,5
Adversity G16 Adidas,g16ADVER1GL,g16,17,13,4,12,9,3,9,5,4,7,4,3
Dunes 15 Black,g15DUNES1AAU16,g15,17,13,4,7,5,2,0,0,0,0,0,0
ARIZONA STORM 16 THUNDER,g16STORM1AZ,g16,16,13,3,8,8,0,10,7,3,3,3,0
KIVA 14 Red,g14AKIVA1PR,g14,16,13,3,16,13,3,3,0,3,3,0,3
Sky High Adidas 17 Elite,g17SKYHI1GL,g17,16,13,3,10,9,1,4,1,3,2,1,1
AZ Sky 17 Gold,g17AZSKY1AZ,g17,15,13,2,8,7,1,7,6,1,5,4,1
Dal Skyline 14 Royal-Josh,g14SKYLN2NT,g14,15,13,2,9,7,2,5,3,2,4,2,2
MAVS 16 Elite,g16MAVBC1HA,g16,15,13,2,15,13,2,10,8,2,10,8,2
1st Alliance 15 Gold,g15allia1GL,g15,14,13,1,9,9,0,3,2,1,1,1,0
Top Select 15 Elite,g15TSVBA1FL,g15,14,13,1,14,13,1,6,5,1,6,5,1
Zona VBC 18-Black,g18ZONAV1AZ,g18,23,12,11,11,5,6,9,1,8,4,0,4
Sky High Adidas 18 Elite,g18SKYHI1GL,g18,22,12,10,16,8,8,7,4,3,6,3,3
Sunshine 13 Westside,g13SUNSH1SC,g13,20,12,8,20,12,8,8,0,8,8,0,8
ARIZONA STORM 15LIGHTNING,g15STORM2AZ,g15,18,12,6,9,6,3,2,1,1,2,1,1
MoCo MAVS 15 Red,g15MCMAV1LS,g15,18,12,6,18,12,6,2,0,2,2,0,2
Adversity G17 Adidas,g17ADVER1GL,g17,17,12,5,14,9,5,3,0,3,3,0,3
ATHENA VB 15-1 Gold National,g15ATHEN1CE,g15,17,12,5,3,2,1,4,2,2,1,0,1
AZ Sky 15 Gold,g15AZSKY1AZ,g15,17,12,5,7,5,2,7,5,2,5,3,2
HJV 18 ELITE,g18HOUJR1LS,g18,17,12,5,14,9,5,7,3,4,6,2,4
Iowa United 151 Elite,g15IAUTD1IA,g15,17,12,5,5,3,2,5,2,3,3,1,2
JJVA 16 Teal,g16JAXJR1FL,g16,17,12,5,12,8,4,3,2,1,2,1,1
SG Elite 15 Roshambo,g15SGELT1SC,g15,17,12,5,17,12,5,6,3,3,6,3,3
WPVC 16 Armour Black,g16WPVCB1FL,g16,17,12,5,17,12,5,6,4,2,6,4,2
CPA 18 Benson,g18CPAVB1EV,g18,16,12,4,12,8,4,8,4,4,6,2,4
Mintonette Sports m.81,g18MSPRT1OV,g18,16,12,4,16,12,4,8,6,2,8,6,2
NPJ Bend 15 National,g15NPJBE1CE,g15,16,12,4,5,4,1,2,1,1,0,0,0
SC Rockstar 12- Tiffany,g12SCROC1SC,g12,16,12,4,16,12,4,1,0,1,1,0,1
SC Rockstar 17- Adidas,g17SCROC3SC,g17,16,12,4,16,12,4,10,6,4,10,6,4
1United 13N Blue,g131UNVB1NT,g13,15,12,3,6,4,2,2,0,2,2,0,2
AZ REV 14 Premier,g14REVOL1AZ,g14,15,12,3,11,9,2,2,1,1,1,0,1
Ozark Juniors 15 Premier,g15OJVBC1DE,g15,15,12,3,12,10,2,3,2,1,0,0,0
Sky High Adidas 14 Elite,g14SKYHI1GL,g14,15,12,3,15,12,3,3,0,3,3,0,3
STVA 15-1 Cristian,g15STVAC1LS,g15,15,12,3,15,12,3,3,1,2,3,1,2
Sunshine 17 LA,g17SUNSH2SC,g17,15,12,3,15,12,3,5,4,1,5,4,1
KC Power 15-1,g15POWER1HA,g15,14,12,2,11,10,1,5,3,2,4,3,1
TAV Houston 16 Black,g16TAVHO1LS,g16,14,12,2,14,12,2,11,9,2,11,9,2
ARIZONA STORM 17 THUNDER,g17STORM1AZ,g17,13,12,1,5,5,0,5,4,1,2,2,0
MODE 15 National,g15MDEVB1EV,g15,13,12,1,8,8,0,2,2,0,2,2,0
MN Select 16-1,g16MNSEL1NO,g16,12,12,0,11,11,0,3,3,0,3,3,0
Sunshine 12 Westside,g12SUNSH1SC,g12,21,11,10,21,11,10,4,1,3,4,1,3
GP 16 National,g16GPONT1FL,g16,19,11,8,19,11,8,6,1,5,6,1,5
DYNASTY 18 Black,g18TMDYN1HA,g18,18,11,7,18,11,7,9,3,6,9,3,6
FaR Out 16 Black,g16fovbc1LK,g16,18,11,7,15,10,5,3,1,2,3,1,2
KC Power 18-1,g18POWER1HA,g18,18,11,7,17,10,7,15,8,7,14,7,7
Stars 17 ALex,g17STARS1PM,g17,18,11,7,11,6,5,5,2,3,5,2,3
Adversity G18 Adidas,g18ADVER1GL,g18,17,11,6,12,7,5,9,4,5,7,3,4
KIVA 15 Red,g15AKIVA1PR,g15,17,11,6,14,10,4,5,2,3,5,2,3
Mintonette Sports m.61,g16MSPRT1OV,g16,17,11,6,8,5,3,8,3,5,5,2,3
NorCal 18-1 Black,g18NORCA1NC,g18,17,11,6,11,7,4,3,1,2,2,1,1
Sunshine 17 Pacific,g17SUNSH1SC,g17,17,11,6,17,11,6,9,5,4,9,5,4
1st Alliance 18 Silver,g18allia2GL,g18,16,11,5,10,5,5,3,1,2,2,0,2
AZ Sky 14 Gold,g14AZSKY1AZ,g14,16,11,5,7,6,1,3,1,2,1,0,1
Dal Skyline 16 Royal-Paul,g16SKYLN1NT,g16,16,11,5,16,11,5,10,5,5,10,5,5
FRVBC 17-1 Black,g17FRVBC1RM,g17,16,11,5,15,10,5,4,0,4,4,0,4
HJV 15 PREMIER,g15HOUJR2LS,g15,16,11,5,16,11,5,5,2,3,5,2,3
LOVB 17-Angel,g17SCROC1SC,g17,16,11,5,16,11,5,15,10,5,15,10,5
NPJ Portland 15 National,g15NPJPD1CE,g15,16,11,5,9,6,3,2,0,2,2,0,2
Omni 15N1,g15OMNIV1AZ,g15,16,11,5,2,1,1,6,4,2,2,1,1
ARIZONA STORM 15 THUNDER,g15STORM1AZ,g15,15,11,4,4,4,0,7,4,3,2,2,0
ATHENA VB 14-1 Gold National,g14ATHEN1CE,g14,15,11,4,1,1,0,3,2,1,0,0,0
HNL Volleyball 16 Black,g16HNLVB1AH,g16,15,11,4,6,5,1,8,4,4,3,2,1
KC Power 13-1,g13POWER1HA,g13,15,11,4,11,9,2,3,1,2,2,1,1
MKE Sting 16 Black,g16MLWST2BG,g16,15,11,4,5,3,2,4,2,2,2,1,1
OK Charge 16 UA Tulsa,g16CHARG4OK,g16,15,11,4,9,5,4,3,1,2,3,1,2
OT 18 O TJ,g18OTBVA2FL,g18,15,11,4,15,11,4,4,1,3,4,1,3
SC Rockstar 13- Lance,g13SCROC1SC,g13,15,11,4,15,11,4,6,2,4,6,2,4
Surfside 17 Elite,g17SRFSD1SC,g17,15,11,4,15,11,4,6,3,3,6,3,3
UNION 15 Black,g15UNION1PR,g15,15,11,4,10,7,3,2,1,1,2,1,1
WAVE 14-Juliana,g14WVEVB1SC,g14,15,11,4,15,11,4,10,6,4,10,6,4
WAVE 15-Dave,g15WVEVB2SC,g15,15,11,4,15,11,4,4,3,1,4,3,1
CUVC 17 Open,g17CARUN1CR,g17,14,11,3,10,7,3,4,2,2,4,2,2
HPSTL 17 Royal,g17HPSTL1GW,g17,14,11,1,2,1,0,6,4,1,1,0,0
LAV 17 National Black,g17LAVBC1GC,g17,14,11,3,13,10,3,2,1,1,2,1,1
Munciana 16 Nighthawks,g16MUNVB1HO,g16,14,11,3,11,8,3,7,5,2,5,3,2
OK Charge 17 UA,g17CHARG1OK,g17,14,11,3,12,9,3,9,6,3,9,6,3
PEAK 16-1 Elite,g16OPEAK1OK,g16,14,11,3,4,3,1,0,0,0,0,0,0
Premier 16 Black A,g16PREMR1NT,g16,14,11,2,10,7,2,2,1,1,2,1,1
HNL Volleyball 17 Black,g17HNLVB1AH,g17,13,11,2,7,6,1,6,5,1,3,2,1
Top Select 14 Elite,g14TSVBA1FL,g14,13,11,2,13,11,2,5,3,2,5,3,2
Top Select 17 Elite,g17TSVBA1FL,g17,13,11,2,13,11,2,6,4,2,6,4,2
1st Alliance 13-1,g13allia1GL,g13,12,11,1,10,9,1,0,0,0,0,0,0
MADFROG 13'S N GREEN,g13FROGS1NT,g13,12,11,1,12,11,1,4,3,1,4,3,1
1st Alliance 14-1,g14allia1GL,g14,11,11,0,11,11,0,1,1,0,1,1,0
PineappleHP 18U,g18PHPVB1HO,g18,23,10,13,21,9,12,13,2,11,12,1,11
NPJ Portland 17 National,g17NPJPD1CE,g17,22,10,12,11,6,5,10,1,9,3,0,3
Rockwood Thunder 12 Elite,g12RWDTH1GW,g12,21,10,8,20,9,8,2,0,2,2,0,2
VCNebraska 18 Elite,g18VCNEB1GP,g18,20,10,10,17,7,10,10,4,6,8,2,6
MiElite 18 Mizuno,g18MIEVA1LK,g18,18,10,8,18,10,8,11,5,6,11,5,6
MKE Sting 17 Black,g17MLWST2BG,g17,18,10,7,16,9,6,7,1,5,6,1,4
Sky High Adidas 15 Elite,g15SKYHI1GL,g15,18,10,8,13,6,7,2,1,1,2,1,1
Tri-State Elite 15 Blue,g15TRIST1PR,g15,18,10,8,15,10,5,10,2,8,7,2,5
Aspire 16 Alpha,g16ASPIR1AZ,g16,17,10,7,3,3,0,11,5,6,2,2,0
Club One AZ 15Platinum,g15ONEVB1AZ,g15,17,10,7,2,0,2,3,0,3,2,0,2
CVC 18 BLACK,g18CVBCO1OV,g18,17,10,6,17,10,6,6,1,5,6,1,5
KIVA 17 Red,g17AKIVA1PR,g17,17,10,7,14,9,5,9,4,5,6,3,3
TX LEGACY 16 ELITE,g16TLGCY1LS,g16,17,10,7,16,9,7,11,4,7,10,3,7
Illini Elite 16 Cardinal,g16IEVBC1GL,g16,16,10,6,14,9,5,1,0,1,1,0,1
Legacy 18-1 ADIDAS,g18LEGVC1LK,g18,16,10,6,16,10,6,10,6,4,10,6,4
MoCo MAVS 16 Red,g16MCMAV1LS,g16,16,10,6,16,10,6,2,0,2,2,0,2
Vision 18 Gold,g18VSION1NC,g18,16,10,6,10,6,4,8,4,4,6,3,3
Aspire 15 Alpha,g15ASPIR1AZ,g15,15,10,5,4,3,1,4,1,3,2,1,1
Aspire 17 Alpha,g17ASPIR1AZ,g17,15,10,5,4,4,0,6,4,2,1,1,0
D Skyline 16 Royal-Jimmy,g16SKYLN2NT,g16,15,10,5,15,10,5,8,4,4,8,4,4
MADFROG 16'S N BLACK CJ,g16FROGS2NT,g16,15,10,5,15,10,5,5,1,4,5,1,4
1st Alliance 15 Silver,g15allia2GL,g15,14,10,4,9,6,3,3,2,1,1,1,0
FaR Out 14 Black,g14fovbc1LK,g14,14,10,4,14,10,4,8,4,4,8,4,4
HJV 16 PREMIER,g16HOUJR2LS,g16,14,10,4,14,10,4,4,1,3,4,1,3
LAV 16 National Black,g16LAVBC1GC,g16,14,10,4,14,10,4,0,0,0,0,0,0
MADFROG 15'S N BLACK,g15FROGS2NT,g15,14,10,4,14,10,4,5,1,4,5,1,4
Northern Lights 14-1,g14NLITE1NO,g14,14,10,4,4,3,1,2,2,0,0,0,0
Ozark Juniors 17 Premier,g17OJVBC1DE,g17,14,10,4,7,6,1,3,0,3,1,0,1
GP 13 National,g13GPONT1FL,g13,13,10,3,13,10,3,3,1,2,3,1,2
GP 17 National,g17GPONT1FL,g17,13,10,3,13,10,3,6,3,3,6,3,3
NKYVC 16-1 Tsunami,g16NKYVC1PR,g16,13,10,3,13,10,3,9,7,2,9,7,2
Ozark Juniors 16 Premier,g16OJVBC1DE,g16,13,10,3,8,6,2,4,1,3,3,1,2
Premier Nebraska 15 Gold,g15PREMR1GP,g15,13,10,3,6,6,0,8,6,2,5,5,0
HPSTL 14 Royal,g14HPSTL1GW,g14,12,10,2,4,4,0,1,0,1,0,0,0
Northern Lights 16-1,g16NLITE1NO,g16,12,10,2,9,8,1,4,2,2,2,1,1
ARIZONA STORM 12 THUNDER,g12STORM1AZ,g12,11,10,1,7,6,1,0,0,0,0,0,0
Premier Nebraska 12 Gold,g12PREMR1GP,g12,11,10,1,8,7,1,0,0,0,0,0,0
COAST 13-1 Tina,g13COAST1SC,g13,10,10,0,10,10,0,6,6,0,6,6,0
Premier Nebraska 14 Gold,g14PREMR1GP,g14,10,10,0,5,5,0,3,3,0,2,2,0
