Division,Group,Bracket,Match,Time,Court,Date
15 & Under,R3 Prime9th,9th Place Bracket,Match 3,02:30 PM,KCCC 66,2026-02-16
15 & Under,R3 Prime13th,13th Place Bracket,Match 3,02:30 PM,Municipal 69,2026-02-16
15 & Under,R3 AspireCh,Championship Bracket,Match 7,01:20 PM,Bluhawk 3A,2026-02-16
15 & Under,R3 AspireCh,Championship Bracket (Semifinal),Match 5,11:00 AM,Bluhawk 3A,2026-02-16
15 & Under,R3 AspireCh,Championship Bracket (Semifinal),Match 6,11:00 AM,Bluhawk 3B,2026-02-16
15 & Under,R3 Aspire9th,9th Place Bracket,Match 7,02:30 PM,Bluhawk 4A,2026-02-16
15 & Under,R3 Aspire17th,17th Place Bracket,Match 7,01:20 PM,Bluhawk 5A,2026-02-16
15 & Under,R3 Aspire25th,25th Place Bracket,Match 7,02:30 PM,Bluhawk 2A,2026-02-16
15 & Under,R4 Elite25th,25th Place Bracket,Match 7,02:30 PM,KCCC 21,2026-02-16
15 & Under,R4 Open25th,25th Place Bracket,Match 7,02:30 PM,KCCC 55,2026-02-16
16 & Under,R2 EliteCh,Championship Bracket,Match 31,11:30 AM,Taraflex 16,2026-02-16
16 & Under,R2 EliteCh,Championship Bracket (Semifinal),Match 29,09:50 AM,KCCC 6,2026-02-16
16 & Under,R2 EliteCh,Championship Bracket (Semifinal),Match 30,09:50 AM,KCCC 7,2026-02-16
16 & Under,R2 OpenCh,Championship Bracket,Match 31,12:10 PM,KCCC 2,2026-02-16
16 & Under,R2 OpenCh,Championship Bracket (Semifinal),Match 29,09:50 AM,KCCC 2,2026-02-16
16 & Under,R2 OpenCh,Championship Bracket (Semifinal),Match 30,09:50 AM,KCCC 3,2026-02-16
16 & Under,R3 Elite5th,5th Place Bracket,Match 1,11:00 AM,KCCC 5,2026-02-16
16 & Under,R3 Elite9th,9th Place Bracket,Match 7,01:20 PM,KCCC 21,2026-02-16
16 & Under,R3 Elite17th,17th Place Bracket,Match 15,01:20 PM,KCCC 35,2026-02-16
16 & Under,R3 Open9th,9th Place Bracket,Match 7,01:20 PM,KCCC 36,2026-02-16
16 & Under,R3 Open17th,17th Place Bracket,Match 15,01:20 PM,KCCC 39,2026-02-16
16 & Under,R3 SelectCh,Championship Bracket,Match 7,02:30 PM,KCCC 6,2026-02-16
16 & Under,R3 SelectCh,Championship Bracket (Semifinal),Match 5,12:10 PM,KCCC 6,2026-02-16
16 & Under,R3 SelectCh,Championship Bracket (Semifinal),Match 6,12:10 PM,KCCC 7,2026-02-16
16 & Under,R3 Select9th,9th Place Bracket,Match 7,01:20 PM,KCCC 43,2026-02-16
16 & Under,R3 Select17th,17th Place Bracket,Match 7,01:20 PM,KCCC 55,2026-02-16
16 & Under,R3 Select25th,25th Place Bracket,Match 7,01:20 PM,KCCC 56,2026-02-16
16 & Under,R3 PrimeCh,Championship Bracket,Match 4,03:40 PM,KCCC 37,2026-02-16
16 & Under,R3 PrimeCh,Championship Bracket (Semifinal),Match 2,01:20 PM,KCCC 37,2026-02-16
16 & Under,R3 PrimeCh,Championship Bracket (Semifinal),Match 3,02:30 PM,KCCC 37,2026-02-16
16 & Under,R3 Prime6th,6th Place Bracket,Match 4,03:40 PM,KCCC 38,2026-02-16
16 & Under,R3 Prime11th,11th Place Bracket,Match 4,03:40 PM,KCCC 57,2026-02-16
16 & Under,R3 Prime16th,16th Place Bracket,Match 4,03:40 PM,KCCC 58,2026-02-16
16 & Under,R3 AspireCh,Championship Bracket,Match 6,01:20 PM,Bluhawk 4A,2026-02-16
16 & Under,R3 AspireCh,Championship Bracket (Semifinal),Match 4,09:50 AM,Bluhawk 4A,2026-02-16
16 & Under,R3 AspireCh,Championship Bracket (Semifinal),Match 5,09:50 AM,Bluhawk 4B,2026-02-16
16 & Under,R3 Aspire8th,8th Place Bracket,Match 6,01:20 PM,Bluhawk 4B,2026-02-16
16 & Under,R3 Aspire15th,15th Place Bracketth,Match 6,02:30 PM,Bluhawk 1A,2026-02-16
16 & Under,R3 Aspire22nd,22nd Place Bracket,Match 5,01:20 PM,Bluhawk 5B,2026-02-16
16 & Under,R3 Aspire28th,28th Place Bracket,Match 4,02:30 PM,Bluhawk 6A,2026-02-16
16 & Under,R3 Aspire33rd,33rd Place Bracket,Match 4,02:30 PM,Bluhawk 1B,2026-02-16
16 & Under,R3 Aspire38th,38th Place Bracket,Match 4,02:30 PM,Bluhawk 7B,2026-02-16
16 & Under,R3 Aspire43rd,43rd Place Bracket,Match 4,02:30 PM,Bluhawk 8B,2026-02-16
16 & Under,R4 Elite25th,25th Place Bracket,Match 7,01:20 PM,KCCC 51,2026-02-16
16 & Under,R4 Open25th,25th Place Bracket,Match 7,02:30 PM,KCCC 51,2026-02-16
17 & Under,R2 EliteCh,Championship Bracket,Match 31,01:50 PM,Taraflex 16,2026-02-16
17 & Under,R2 EliteCh,Championship Bracket (Semifinal),Match 29,11:00 AM,KCCC 10,2026-02-16
17 & Under,R2 EliteCh,Championship Bracket (Semifinal),Match 30,11:00 AM,KCCC 11,2026-02-16
17 & Under,R2 OpenCh,Championship Bracket,Match 31,01:20 PM,KCCC 18,2026-02-16
17 & Under,R2 OpenCh,Championship Bracket (Semifinal),Match 29,11:00 AM,KCCC 18,2026-02-16
17 & Under,R2 OpenCh,Championship Bracket (Semifinal),Match 30,11:00 AM,KCCC 19,2026-02-16
17 & Under,R3 Elite5th,5th Place Bracket,Match 1,12:10 PM,KCCC 9,2026-02-16
17 & Under,R3 Elite9th,9th Place Bracket,Match 7,02:30 PM,KCCC 25,2026-02-16
17 & Under,R3 Elite17th,17th Place Bracket,Match 15,01:20 PM,KCCC 44,2026-02-16
17 & Under,R3 Open9th,9th Place Bracket,Match 7,02:30 PM,KCCC 31,2026-02-16
17 & Under,R3 Open17th,17th Place Bracket,Match 15,02:30 PM,KCCC 43,2026-02-16
17 & Under,R3 SelectCh,Championship Bracket,Match 7,03:40 PM,KCCC 23,2026-02-16
17 & Under,R3 SelectCh,Championship Bracket (Semifinal),Match 5,02:30 PM,KCCC 23,2026-02-16
17 & Under,R3 SelectCh,Championship Bracket (Semifinal),Match 6,02:30 PM,KCCC 24,2026-02-16
17 & Under,R3 Select9th,9th Place Bracket,Match 7,03:40 PM,KCCC 27,2026-02-16
17 & Under,R3 Select17th,17th Place Bracket,Match 7,03:40 PM,KCCC 33,2026-02-16
17 & Under,R3 Select25th,25th Place Bracket,Match 7,03:40 PM,KCCC 45,2026-02-16
17 & Under,R3 PrimeCh,Championship Bracket,Match 4,03:40 PM,KCCC 19,2026-02-16
17 & Under,R3 PrimeCh,Championship Bracket (Semifinal),Match 2,01:20 PM,KCCC 19,2026-02-16
17 & Under,R3 PrimeCh,Championship Bracket (Semifinal),Match 3,02:30 PM,KCCC 19,2026-02-16
17 & Under,R3 Prime6th,6th Place Bracket,Match 4,03:40 PM,KCCC 7,2026-02-16
17 & Under,R3 Prime11th,11th Place Bracket,Match 4,03:40 PM,KCCC 11,2026-02-16
17 & Under,R3 Prime16th,16th Place Bracket,Match 4,03:40 PM,KCCC 49,2026-02-16
17 & Under,R3 AspireCh,Championship Bracket,Match 9,02:30 PM,Bluhawk 3A,2026-02-16
17 & Under,R3 AspireCh,Championship Bracket (Semifinal),Match 7,12:10 PM,Bluhawk 3A,2026-02-16
17 & Under,R3 AspireCh,Championship Bracket (Semifinal),Match 8,12:10 PM,Bluhawk 3B,2026-02-16
17 & Under,R3 Aspire11th,11th Place Bracket,Match 9,01:20 PM,Bluhawk 7A,2026-02-16
17 & Under,R3 Aspire21st,21st Place Bracketth,Match 9,02:30 PM,Bluhawk 5A,2026-02-16
17 & Under,R3 Aspire31st,31st Place Bracket,Match 9,01:20 PM,Bluhawk 8A,2026-02-16
17 & Under,R4 Elite25th,25th Place Bracket,Match 7,02:30 PM,KCCC 47,2026-02-16
17 & Under,R4 Open25th,25th Place Bracket,Match 7,01:20 PM,KCCC 52,2026-02-16
18 & Under,R2 EliteCh,Championship Bracket,Match 31,12:40 PM,Taraflex 16,2026-02-16
18 & Under,R2 EliteCh,Championship Bracket (Semifinal),Match 29,09:50 AM,KCCC 10,2026-02-16
18 & Under,R2 EliteCh,Championship Bracket (Semifinal),Match 30,09:50 AM,KCCC 11,2026-02-16
18 & Under,R2 OpenCh,Championship Bracket,Match 31,12:10 PM,KCCC 18,2026-02-16
18 & Under,R2 OpenCh,Championship Bracket (Semifinal),Match 29,09:50 AM,KCCC 18,2026-02-16
18 & Under,R2 OpenCh,Championship Bracket (Semifinal),Match 30,09:50 AM,KCCC 19,2026-02-16
18 & Under,R3 Elite5th,5th Place Bracket,Match 1,11:00 AM,KCCC 9,2026-02-16
18 & Under,R3 Elite9th,9th Place Bracket,Match 7,01:20 PM,KCCC 25,2026-02-16
18 & Under,R3 Elite17th,17th Place Bracket,Match 15,01:20 PM,KCCC 31,2026-02-16
18 & Under,R3 Open9th,9th Place Bracket,Match 7,01:20 PM,KCCC 26,2026-02-16
18 & Under,R3 Open17th,17th Place Bracket,Match 15,01:20 PM,KCCC 32,2026-02-16
18 & Under,R3 SelectCh,Championship Bracket,Match 5,02:30 PM,KCCC 10,2026-02-16
18 & Under,R3 SelectCh,Championship Bracket (Semifinal),Match 3,12:10 PM,KCCC 10,2026-02-16
18 & Under,R3 SelectCh,Championship Bracket (Semifinal),Match 4,12:10 PM,KCCC 11,2026-02-16
18 & Under,R3 Select7th,7th Place Bracket,Match 5,02:30 PM,KCCC 17,2026-02-16
18 & Under,R3 Select13th,13th Place Bracket,Match 5,02:30 PM,KCCC 20,2026-02-16
18 & Under,R3 Select19th,19th Place Bracket,Match 5,02:30 PM,KCCC 53,2026-02-16
18 & Under,R3 PrimeCh,Championship Bracket,Match 3,02:30 PM,KCCC 50,2026-02-16
18 & Under,R3 PrimeCh,Championship Bracket (Semifinal),Match 1,12:10 PM,KCCC 50,2026-02-16
18 & Under,R3 PrimeCh,Championship Bracket (Semifinal),Match 2,01:20 PM,KCCC 50,2026-02-16
18 & Under,R3 Prime7th,7th Place Bracket,Match 3,02:30 PM,KCCC 42,2026-02-16
18 & Under,R3 Prime13th,13th Place Bracket,Match 3,03:40 PM,KCCC 5,2026-02-16
18 & Under,R3 Prime18th,18th Place Bracket,Match 3,03:40 PM,KCCC 12,2026-02-16
18 & Under,R4 Elite25th,25th Place Bracket,Match 7,01:20 PM,KCCC 47,2026-02-16
18 & Under,R4 Open25th,25th Place Bracket,Match 7,01:20 PM,KCCC 48,2026-02-16
